"IN";"Antiphona ad Introïtum";"Antienne d'Introït";"Entrance antiphon"
;"S. Mariae Magdalenae de Pazzi, virginis";"Ste Marie-Madeleine de Pazzi, vierge";
;"S. Philippi Neri, presbyteri";"St Philippe Néri, prêtre";
;"S. Augustini Cantuarensis, episcopi";"St Augustin de Cantorbéry, évêque";
;"In Visitatione B. Mariae Virginis";"Visitation de la Bienheureuse Vierge Marie";
;"S. Iustini, martyris";"St Justin, martyr";
;"Ss. Marcellini et Petri, martyrum";"Sts Marcellin et Pierre, martyrs.";
;"Ss. Caroli Lwanga et sociorum, martyrum";"St Charles Lwanga et ses compagnons, martyrs.";
;"S. Bonifatii, episcopi et martyris";"St Boniface, évêque et martyr.";
;"S. Norberti, episcopi";"St Norbert, évêque.";
;"S. Ephraem, diaconi et Ecclesiae doctoris";"St Ephrem, diacre et docteur de l'Église.";
;"S. Barnabae, apostoli";"St Barnabé, apôtre.";
;"S. Antonii de Padova, presbyteri et Ecclesiae doctoris";"St Antoine de Padoue, prêtre et docteur de l'Église.";
;"S. Romualdi, abbatis";"St Romuald, abbé.";
;"S Aloisii Gonzaga, religiosi";"St Louis de Gonzague, religieux";
;"S. Paulini Nolani";"St Paulin de Nole, évêque.";
;"Ss. Ioannis Fisher, episcopi, et Thomae More, martyrum";"Sts Jean Fisher, évêque et Thomas More, martyrs.";
;"IN NATIVITATE S. IOANNIS BAPTISTAE";"NATIVITE DE SAINT JEAN BAPTISTE";
;"S. Iosephmariæ Escrivá de Balaguer, presbyteri";"St Josemaria Escriva de Balaguer, prêtre.";
;"S. Cyrilli Alexandrini, episcopi et Ecclesiae doctoris";"St Cyrille d’Alexandrie, évêque et docteur de l'Église";
;"S. Irenaei, episcopi et martyris";"St Irénée, évêque et martyr";
;"Ss. PETRI ET PAULI, APOSTOLORUM";"STS PIERRE ET PAUL, APOTRES";
;"Ss. Protomartyrum S. Romanae Ecclesiae";"Sts protomartyrs de la Sainte Eglise romaine";
;"SACRATISSIMI CORDIS IESU";"TRES SAINT COEUR DE JESUS";
