"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang"
6;"f";;30;"Sts protomartyrs de la Sainte Eglise romaine";"Mémoire facultative";;12
7;"g";;1;;;;
7;"A";;2;;;;
7;"b";;3;"St Thomas, apôtre";"Fête";"Rouge";7
7;"c";;4;"Ste Elisabeth du Portugal";"Mémoire facultative";;12
7;"d";;5;"St Antoine-Marie Zaccaria, prêtre";"Mémoire facultative";;12
7;"e";;6;"Ste Maria Goretti, vierge et martyre";"Mémoire facultative";;12
7;"f";;7;;;;
7;"g";;8;;;;
7;"A";;9;"St Augustin Zhao Rong, prêtre et ses compagnons martyrs";"Mémoire facultative";;12
7;"b";;10;;;;
7;"c";;11;"St Benoît, abbé";"Mémoire obligatoire";"Blanc";8
7;"d";;12;;;;
7;"e";;13;"St Henri ";"Mémoire facultative";;12
7;"f";;14;"St Camille de Lellis, prêtre";"Mémoire facultative";;12
7;"g";;15;"St Bonaventure, évêque et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
7;"A";;16;"Bienheureuse Vierge Marie du Mont Carmel";"Mémoire facultative";;12
7;"b";;17;;;;
7;"c";;18;;;;
7;"d";;19;;;;
7;"e";;20;"St Apollinaire, évêque et martyr";"Mémoire facultative";;12
7;"f";;21;"St Laurent de Brindisi, prêtre et docteur de l' Église";"Mémoire facultative";;12
7;"g";;22;"Ste Marie-Madeleine";"Mémoire obligatoire";"Blanc";10
7;"A";;23;"Ste Brigitte, religieuse";"Mémoire facultative";"Blanc";8
7;"b";;24;"St Charbel Maklouf, prêtre";"Mémoire facultative";;12
7;"c";;25;"St Jacques, apôtre";"Fête";"Rouge";7
7;"d";;26;"Sts Joachim et Anne, parents de la Bienheureuse Vierge Marie";"Mémoire obligatoire";"Blanc";10
7;"e";;27;;;;
7;"f";;28;;;;
7;"g";;29;"Ste Marthe";"Mémoire obligatoire";"Blanc";10
7;"A";;30;"St Pierre Chrysologue, évêque et docteur de  l'Église";"Mémoire facultative";;12
7;"b";;31;"St Ignace de Loyola, prêtre";"Mémoire obligatoire";"Blanc";10
8;"c";;1;"St Alphonse-Marie de Liguori,  évêque et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
8;"d";;2;"St Eusèbe de Verceil, évêque";"Mémoire facultative";;12
8;"d";;2;"St Pierre Julien Eymard, prêtre";"Mémoire facultative";;12
8;"e";;3;;;;
8;"f";;4;"St Jean-Marie Vianney, prêtre";"Mémoire obligatoire";"Blanc";10
8;"g";;5;"Dédicace de la Basilique Ste Marie.";"Mémoire facultative";;12
8;"A";;6;"Transfiguration du Seigneur";"Fête";"Blanc";5
